iter	Passed	Remaining
0	0	44
1	0	45
2	1	42
3	1	38
4	2	39
5	2	39
6	2	38
7	3	37
8	3	36
9	4	36
10	4	35
11	4	34
12	5	34
13	5	33
14	5	32
15	6	32
16	6	31
17	6	31
18	7	30
19	7	30
20	7	30
21	8	29
22	8	29
23	9	28
24	9	28
25	9	28
26	10	27
27	10	27
28	10	26
29	11	26
30	11	26
31	12	25
32	12	25
33	12	24
34	13	24
35	13	23
36	13	23
37	14	23
38	14	22
39	14	22
40	15	22
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	19	18
51	19	18
52	19	17
53	20	17
54	20	16
55	20	16
56	21	16
57	21	15
58	22	15
59	22	14
60	22	14
61	23	14
62	23	14
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	11
71	27	10
72	27	10
73	28	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	32	4
87	33	4
88	33	4
89	34	3
90	34	3
91	34	3
92	35	2
93	35	2
94	35	1
95	36	1
96	36	1
97	37	0
98	37	0
99	37	0
